    Code                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       NegativosComLLM
0   P001                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Falta de contexto profundo do domínio, respostas podem ser genéricas ou superficiais, dependência excessiva de uma ferramenta externa.
1   P002                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      Menor aprendizagem, pois de certa forma a pessoa se apoia no uso da LLM e acaba pensando menos sobre a atividade
2   P003                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              Dependência de LLMs. Respostas genéricas
3   P004                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              Que você não se esforça o bastante para resolver os problemas, o que pode acabar te limitado para outros projetos, sem a utilização dela
4   P005                                                                                                                                                                                                                                                                                                                                                                                                                                 Pode gerar uma dependência, diminuindo a prática da escrita autônoma.\n\nSe a pergunta for mal formulada, o resultado pode sair fora do esperado.\n\nNem sempre o modelo entende restrições específicas do professor.
5   P006                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Falta de autenticidade
6   P007                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      Nem sempre estarão corretas, logo o tempo de revisão da história e do caso de uso se torna maior
7   P008                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  Respostas genéricas 
8   P009                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Ficar fixo a uma ideia não sua pode ser complicado para seguir uma linha de raciocínio
9   P010                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Há chances da IA interpretar errado as solicitações, e entregar respostas equivocadas.
10  P011                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          Os principais pontos negativos de realizar a tarefa com o uso de LLM são as respostas automatizadas e limitação da capacidade de raciocínio.
11  P012                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 Respostas generalistas e consequentemente, casos de usos generalistas
12  P013                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             Tendência a não ler o que foi entregue, necessidade de corrigir contexto.
13  P014                                                                                                                                                                                                                                                                                                                                                                                                                                               Muitas vezes levamos a resposta da LLM como verdadeira sem ao menos ler ou buscar outras fontes de informação, o que pode levar a utilização de alguma informação incorreta ou feita de forma genérica.
14  P015                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 Falta de personalização no pensamento
15  P016                                                                                                                                                                                                                                                                                                                                                                                                                                                          Como ponto negativo eu acho que seja a parte de não precisar me esforçar tanto para pensar na tarefa, o que pode fazer com que eu nao consolide tanto o conhecimento de determinado assunto 
16  P017                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  Diminuição da criatividade e piora do aprendizado dependendo do uso.
17  P018  Embora o uso de LLMs traga muitos benefícios, também há alguns pontos negativos a considerar. A principal limitação é que o modelo pode gerar conteúdos que parecem corretos, mas contêm imprecisões ou não refletem exatamente o contexto do projeto, exigindo sempre uma validação humana. Além disso, pode haver excesso de generalização ou falta de sensibilidade a regras de negócio específicas se essas não forem claramente informadas. Outro ponto é que o uso contínuo sem reflexão crítica pode diminuir a participação ativa da equipe na construção dos requisitos, o que pode impactar o alinhamento e entendimento do produto final.
18  P019                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         Nem se dar o trabalho de ver o que foi gerado

Category;	Occurrences;	Participants (IDs);
Overdependence / Reduced Learning;	9;	P001, P002, P003, P004, P005, P011, P015, P016, P017;
Generic / Inaccurate Answers;	8;	P001, P003, P007, P008, P010, P011, P012, P018;
Lack of Critical Thinking / Review;	5;	P013, P014, P018, P019, P004;
Loss of Personal Authorship;	4;	P005, P009, P014, P015;
Misinterpretation / Misalignment;	4;	P005, P010, P012, P018;
Reduced Creativity;	2;	P009, P017;
