code,Answer to the question: What are the negative aspects of using LLMs?,Open Coding,Category
P001,"Lack of deep domain context; responses may be generic or superficial, leading to excessive dependence on an external tool.",Reduced Learning,Learning
P001,"Lack of deep domain context; responses may be generic or superficial, leading to excessive dependence on an external tool.",Generic Solution,Reliability
P001,"Lack of deep domain context; responses may be generic or superficial, leading to excessive dependence on an external tool.",Overdependence,Learning
P002,"Reduced learning, as individuals tend to rely on the use of LLMs and consequently think less about the activity.",Overdependence,Learning
P002,"Reduced learning, as individuals tend to rely on the use of LLMs and consequently think less about the activity.",Reduced Learning,Learning
P003,Dependence on LLMs. Generic responses.,Overdependence,Learning
P003,Dependence on LLMs. Generic responses.,Generic Solution,Reliability
P004,"Not making enough effort to solve problems, which may end up limiting you in other projects without using the tool.",Overdependence,Learning
P004,"Not making enough effort to solve problems, which may end up limiting you in other projects without using the tool.",Reduced Learning,Learning
P005,"It can create dependency, reducing the practice of autonomous writing. If the question is poorly formulated, the outcome may be different from what was expected. The model does not always understand specific constraints defined by the instructor.",Overdependence,Learning
P005,"It can create dependency, reducing the practice of autonomous writing. If the question is poorly formulated, the outcome may be different from what was expected. The model does not always understand specific constraints defined by the instructor.",Reduced Learning,Learning
P005,"It can create dependency, reducing the practice of autonomous writing. If the question is poorly formulated, the outcome may be different from what was expected. The model does not always understand specific constraints defined by the instructor.",Misalignment,Reliability
P006,Lack of authenticity.,Generic Solution,Reliability
P007,"They are not always correct; therefore, the time required to review the user story and the use case becomes longer.",Inaccurate,Reliability
P007,"They are not always correct; therefore, the time required to review the user story and the use case becomes longer.",Generic Solution,Reliability
P008,Generic responses.,Generic Solution,Reliability
P009,Sticking to an idea that is not your own can make it difficult to follow a coherent line of reasoning.,Loss of Personal Authorship,Learning
P009,Sticking to an idea that is not your own can make it difficult to follow a coherent line of reasoning.,Reduced Creativity,Learning
P010,There is a chance that the AI may misinterpret the requests and deliver incorrect responses.,Misinterpretation,Reliability
P010,"Há chances da IA interpretar errado as solicitações, e entregar respostas equivocadas.",Misalignment,Reliability
P011,The main negative aspects of performing the task are automated responses and limitations in reasoning ability.,Overdependence,Learning
P011,The main negative aspects of performing the task are automated responses and limitations in reasoning ability.,Reduced Learning,Learning
P012,"Generic responses and, consequently, generic use cases.",Generic Solution,Reliability
P012,"Generic responses and, consequently, generic use cases.",Inaccurate,Reliability
P013,Tendency not to read what was delivered and the need to correct context.,Overdependence,Learning
P013,Tendency not to read what was delivered and the need to correct context.,Inaccurate,Reliability
