Code,Group,Task_id,LLM Used?,Description,Main Flow,Alternative Flow  ,time,grad_phd_01,grad_phd_02,grad_mean
P001,G2,1 - TechFix,Yes,Title: Technical Ticket Registration by User DESCRIPTION AS: User with a technical problem I WANT TO: Register a ticket describing my issue SO THAT: I can receive help from community experts,"USE CASE (Main Flow) - GIVEN: The user is logged into the system AND is on the ticket creation page AND has a technical problem to report WHEN: The user fills out the form with the title, problem description, and category, and clicks “Submit Ticket” THEN: The system saves the ticket, displays a submission confirmation, and makes it visible to the area specialists","USE CASE – Alternative Flow: Ticket Registration with Incomplete Data GIVEN: the user is logged into the platform AND accessed the ticket section AND left one or more mandatory fields blank (such as title, description, or category) WHEN: the user clicks the “Submit Ticket” button THEN: the system prevents the ticket from being submitted AND displays error messages indicating which fields need to be filled",6,10,10,10
P002,G1,1 - TechFix,No,Title: Notification Sent After User Request DESCRIPTION: The system will send notifications to experts for each request made by a user AS: Bernardo I WANT TO: Receive notifications FOR: Each request made by the user,"USE CASES (Main Flow) - GIVEN: <The user opens the app to make a request about the problem> AND … AND … <The user is correctly registered, as is the specialist> WHEN: <The request is made> THEN: <The specialists will receive the notification that the user reported a problem in the system>",USE CASES (Alternative Flow) GIVEN: AND … AND … WHEN: THEN:,19,5,5,5
P003,G1,1 - TechFix,No,Submit a Technical Problem on the Platform AS: User I WANT TO: Submit technical problems on the platform SO THAT: Other users can view them and submit their solutions,Main Use Case - GIVEN I registered my account on the platform AND I have already verified my email AND I filled in the details about the technical problem in a form WHEN I click the submit button THEN my problem will be saved in the platform database so that other users can view it,Alternative Use Case GIVEN: I entered the platform as an anonymous user AND I filled in the details about the technical problem in a form WHEN I click the submit button THEN my problem will be saved in the platform database so that other users can view it,19,5,5,5
P004,G1,1 - TechFix,No,TEMPLATE: DESCRIPTION: AS: I WANT TO: SO THAT:,USE CASES (Main Flow) - GIVEN: <Having a technical problem> AND … AND … <I cannot solve it> WHEN: <Register the ticket> THEN: <I have a suggestion to solve it>,USE CASES (Alternative Flow) GIVEN: AND … AND … WHEN: THEN:,14,5,0,2.5
P005,G1,1 - TechFix,No,Title: Technical Solutions Evaluation DESCRIPTION AS: User with technical problems I WANT TO: Vote on the best solutions proposed by experts SO THAT: I help other users quickly find the most efficient answers and contribute to recognizing the experts who help the most on the platform,"Main Flow – Voting on Useful Solution - GIVEN: I am logged into the platform AND I viewed a ticket with multiple responses AND I found a solution that solved my problem WHEN: I click the ""Vote as Useful"" button next to the answer THEN: The specialist's score is updated",Alternative Flow – Vote Withdrawn GIVEN: I voted on an answer previously AND realized that the answer did not completely solve the problem WHEN: I click the “Vote as Useful” button again to undo the vote THEN: the specialist’s score is reduced AND the position of the answer in the ticket ranking is re-evaluated,12,5,10,7.5
P006,G2,1 - TechFix,Yes,Title: Report Technical Problem on the Platform DESCRIPTION AS: User with a technical problem I WANT TO: Report a problem on the platform SO THAT: I can receive help from community experts,"USE CASE – Main Flow - GIVEN: the user is logged into the platform AND: accesses the ticket area AND: correctly fills out the form with details of the problem WHEN: he submits the ticket THEN: the ticket is published, notifying specialists and remaining visible for voting and solution suggestions",USE CASE – Alternative Flow GIVEN: the user is logged into the platform AND: accesses the ticket area AND: tries to fill out the form with incomplete or invalid information WHEN: they click the “Submit Ticket” button THEN: the system displays error messages indicating the mandatory fields not filled and prevents submission until the form is correctly completed,3,10,10,10
P007,G2,1 - TechFix,Yes,Ticket Registration by User with Technical Problem,"Main Flow – Ticket Registration and Specialist Response - GIVEN the user is logged into the platform AND has a specific technical problem AND accesses the “Report Ticket” area WHEN the user fills out the form with the title, problem description, and category THEN the ticket is published on the platform AND the specialists receive a notification about the new ticket AND can respond with solution suggestions AND the user can mark the best answer, assigning points to the specialist",GIVEN: the user is logged into the platform AND is browsing tickets similar to theirs WHEN they find a useful solution in another ticket THEN they can upvote the specialist's answer AND the specialist receives additional points in the ranking AND the system automatically recommends this solution for similar tickets,7,5,5,5
P008,G2,1 - TechFix,Yes,TechFix – Collaborative Technical Support Platform: DESCRIPTION AS: Regular TechFix platform user I WANT TO: Report a detailed technical problem SO THAT: I can receive help from community experts and resolve my problem quickly,"USE CASES - Main Flow – Ticket Registration - GIVEN: I am logged into the platform AND I access the ""Report Problem"" section AND I fill in the required fields with title, description, and category of the problem WHEN: I click the ""Submit Ticket"" button THEN: the ticket is registered in the system AND it is visible in the public list for specialists to view AND I receive a notification confirming the registration of the ticket","Alternative Flow – Ticket Registration with Incomplete Data GIVEN: I am logged into the platform AND I access the ""Report Problem"" section AND I fill in only the problem title, leaving other fields blank WHEN: I click the ""Submit Ticket"" button THEN: the system displays an error message indicating the mandatory fields AND prevents submission until all required fields are filled",14,10,10,10
P009,G1,1 - TechFix,No,Title: Best Answers DESCRIPTION AS: TechFix platform user I WANT TO: Vote on the answers I consider best SO THAT: I can select the best solutions and help other users,USE CASE – Main Flow: - GIVEN: I log into the platform AND: I accessed a ticket with more than one answer WHEN: I click to positively vote on an answer that helped me THEN: the system counts my vote AND: the score of the answer of who responded is updated,USE CASE – Simple Alternative Flow: GIVEN: I am logged into the platform AND: I try to vote on an answer I wrote myself WHEN: I click to vote on my own answer THEN: the system blocks the action AND: displays a message stating that voting on your own answer is not allowed,21,10,10,10
P010,G1,1 - TechFix,No,User Story: AS: User I WANT TO: Report technical problems SO THAT: I receive solutions to my problem provided by experts,"Main Use Case: - GIVEN: The user is logged into the system AND: The user is on the form screen AND: The user filled out the form field with the desired message WHEN: The user clicks the form's ""submit"" button THEN: The system will store the user's message AND: The system will display the user's message on the problem display screen so that the logged-in specialists see it AND: The system will notify the specialists that there is a new problem","Alternative Use Case: GIVEN: the user is logged into the system AND: the user is on the form screen AND: the user filled in the form field with the desired message WHEN: the user clicks the ""cancel"" button on the form THEN: the system returns to the home screen",13,10,10,10
P011,G1,1 - TechFix,No,User Story Title: Voting on Useful Answers DESCRIPTION AS: Platform user I WANT TO: Vote on useful answers SO THAT: I can help other users,,"GIVEN: I am browsing without login WHEN: I try to vote as useful THEN: I am redirected to login AND: after login, I return to the answer and can vote",17,10,10,10
P012,G2,1 - TechFix,Yes,Title: Technical Ticket Registration by User DESCRIPTION AS: TechFix platform user I WANT TO: Register a technical ticket detailing my problem SO THAT: I receive solution suggestions from community experts,"USE CASE (Main Flow) GIVEN: the user is logged into the platform AND: accesses the “Open Ticket” section AND: fills in the required information such as title, problem description, and category WHEN: clicks the “Submit Ticket” button THEN: the ticket is registered in the system AND: it is available for specialists to view AND: the user receives a notification confirming ticket registration","USE CASE (Alternative Flow) GIVEN: the user is logged into the platform AND: accesses the ""Open Ticket"" section AND: leaves one or more mandatory fields blank (such as title or description) WHEN: they try to click the “Submit Ticket” button THEN: the system displays an error message indicating the missing mandatory fields AND: prevents submission until all necessary information is completed",7,10,10,10
P013,G2,1 - TechFix,Yes,DESCRIPTION AS: Regular user with technical difficulties I WANT TO: Report a technical problem on the platform SO THAT: I can receive expert help and find a solution quickly,"USE CASES Main Flow – Ticket Registration GIVEN: I am logged into the platform AND I am facing a technical problem AND I have access to the new ticket form WHEN: I fill in the form with the title, description, and category of the problem and click ""Submit"" THEN: A new ticket is registered in the system AND specialists are notified based on the chosen category AND the ticket becomes visible on the main page so specialists can respond",Alternative Flow – Voting on Answer GIVEN: I already have a ticket with specialist responses AND I am logged into the platform WHEN: I read a useful answer and click the “Vote as Useful” button THEN: the answer receives an upvote AND the responsible specialist earns points in the scoring system AND the answer is visually prioritized among the others,13,5,5,5
P014,G1,1 - TechFix,No,Technical Problem Registration AS: System user I WANT TO: Report a technical problem SO THAT: Technicians and experts can suggest solutions,USE CASES (Ticket Registration) GIVEN: I am inside the system AND I have technical problems WHEN: I enter the system and try to fill in the description field THEN: I cannot register a problem,USE CASES (Notifications) GIVEN: I am inside the system AND I have technical problems WHEN: I register the technical problem and do not receive response notifications THEN: I cannot know if someone answered my question,18,5,10,7.5
P015,G2,1 - TechFix,Yes,AS: TechFix platform user I WANT TO: Report a detailed technical problem SO THAT: I can receive solution suggestions from experts and resolve the problem quickly,"Main Flow – Technical Ticket Registration GIVEN: I am logged into the platform AND: I am on the ticket creation page AND: I fill in the form with title, description, and problem category WHEN: I click the ""Submit Ticket"" button THEN: the system registers the ticket and makes it available for specialists to view AND: I receive a notification confirming ticket registration","Alternative Flow – Attempt to Register with Incomplete Form GIVEN: I am logged into the platform AND: I am on the ticket creation page AND: I fill in only the title, leaving the description blank WHEN: I click the “Submit Ticket” button THEN: the system displays an error message indicating that all mandatory fields must be filled AND: the ticket is not registered until all information is completed",7,10,5,7.5
P016,G2,1 - TechFix,Yes,Title: Technical Ticket Registration by User DESCRIPTION AS: TechFix platform user I WANT TO: Register a technical ticket reporting my problem SO THAT: I can receive expert help more quickly and in an organized way,"USE CASE (Main Flow) GIVEN: the user is logged into the TechFix platform AND: accesses the ticket section AND: has a technical problem to report WHEN: fills in the ticket registration form with problem description, category, and urgency level THEN: the ticket is successfully registered and is available for specialists to view",USE CASE (Alternative Flow) GIVEN: the user is logged into the TechFix platform AND: accesses the ticket section AND: tries to fill out the ticket registration form WHEN: they leave mandatory fields blank or enter invalid information THEN: the system displays error messages and prevents submission until the form is correctly completed,6,10,10,10
P017,G1,1 - TechFix,No,USER STORY Ticket Registration AS: User I WANT TO: Register my tickets SO THAT: My technical problems can be resolved,USE CASE (Main Flow) – Register a Technical Problem GIVEN: I have valid credentials AND I have entered them correctly WHEN: I insert my technical problem into the ticket THEN: it will be registered and a specialist can suggest a solution,USE CASE (Alternative Flow) – Invalid Credentials GIVEN: I do not have valid credentials AND I enter them into the system WHEN: I press the login button THEN: an error occurs and I cannot access the system,16,10,10,10
P018,G2,1 - TechFix,Yes,Technical Ticket Registration by User AS: User I WANT TO: Register a ticket describing the problem I am facing SO THAT: I can receive solution suggestions from TechFix community experts,Main Flow: Technical Ticket Registration GIVEN: the user is authenticated on the platform AND is on the ticket creation page AND has all the information about the problem WHEN: they fill in the form with the problem description and click “Register Ticket” THEN: the ticket is created in the system AND specialists receive a notification about the new ticket AND the ticket is visible in the public feed of the platform,Alternative Flow: Attempt to register a ticket without being authenticated GIVEN: the user accesses the platform without being logged in AND tries to access the ticket creation feature WHEN: they click “Register Ticket” THEN: the system redirects the user to the login page AND displays a message stating that login is required to register tickets,6,10,10,10
P019,G1,1 - TechFix,No,SYSTEM ACCESS AS: I WANT TO: SO THAT:,USE CASES (Main Flow) GIVEN: <student is already registered in the system> AND <login was accepted> WHEN: <student is on the user profile page> THEN: <list the student's personal data>,"USE CASE (Alternative Flow) GIVEN: <student on the user profile page> AND <identified an old email> WHEN: <student selects the ""edit"" button> THEN: <opens the data for the student to make changes>",15,5,5,5
P001,G2,2 - GreenMarket,No,"Title: Subscribe to Weekly Organic Product Deliveries DESCRIPTION AS: Regular GreenMarket consumer I WANT TO: Subscribe to a weekly organic product delivery plan SO THAT: I receive fresh, quality food at home without having to place manual orders every week","USE CASE – Main Flow: Subscribe to Weekly Deliveries GIVEN the user is logged into the app AND has already selected their delivery address AND navigated to the ""Subscription Plans"" section WHEN they select a weekly plan and confirm payment THEN the subscription is successfully activated AND the user receives confirmation by email AND the upcoming deliveries are automatically scheduled according to the chosen plan","USE CASE – Alternative Flow: Pause Subscription Deliveries GIVEN: the user has an active subscription AND wants to pause deliveries for a period WHEN: they access the ""My Subscriptions"" area and choose the ""Pause Deliveries"" option THEN: the subscription is temporarily suspended AND the user can set the automatic reactivation date or choose to reactivate manually later AND no deliveries are charged during the paused period",8,5,10,7.5
P002,G1,2 - GreenMarket,Yes,Title: Weekly Organic Product Subscription DESCRIPTION: Weekly subscription system for delivering organic products to consumers AS: Conscious consumer who values healthy and sustainable products I WANT TO: Subscribe to recurring deliveries of organic fruits and vegetables SO THAT: I receive fresh products weekly without placing new orders each time,"Main Flow GIVEN: the consumer is logged into the app AND has a registered address and payment method AND subscription plans are available for their region WHEN: they select a subscription plan and confirm the purchase THEN: the system activates the subscription, schedules weekly deliveries, and sends a confirmation by email",Alternative Flow (Region without coverage) GIVEN: the consumer is logged into the app AND has a registered address and payment method AND there are no subscription plans available for their region WHEN: they try to select a subscription plan THEN: the system displays the message “We do not deliver in your region yet” and offers the option to receive a future email notification,5,10,10,10
P003,G1,2 - GreenMarket,Yes,"Title: Weekly Organic Product Subscription DESCRIPTION AS: GreenMarket app consumer I WANT TO: Subscribe to a weekly delivery of organic products SO THAT: I automatically receive a selection of fresh, certified products at home without reordering weekly",Main Flow – Weekly Delivery Subscription GIVEN: I am logged into the app AND: I have a registered delivery address AND: My payment method is active and valid WHEN: I select the “Weekly Subscription” option and choose the products or basket type I want to receive THEN: the system confirms the subscription AND: Shows the date of the next delivery AND: Starts scheduling automatic weekly deliveries with recurring billing,Alternative Flow – Subscription Failure due to Invalid Card GIVEN: I am logged into the app AND: I have a registered delivery address AND: my payment method is expired or invalid WHEN: I try to finalize the weekly subscription THEN: the system displays an error message indicating a payment problem AND: requests that I update my payment information to complete the subscription,9,10,10,10
P004,G1,2 - GreenMarket,Yes,"TEMPLATE – ORDER HISTORY DESCRIPTION Allow the consumer to view previous orders made in the app, including purchase date, items, total amount, and delivery status AS: GreenMarket consumer I WANT TO: Access my order history SO THAT: I can track past purchases, check values, and easily repeat orders","USE CASE – Main Flow: View Order History GIVEN: the user is logged into the app AND: has made at least one previous order WHEN: they access the ""Order History"" section in the main menu THEN: the system should display a list of previous orders with date, amount, and delivery status","USE CASE – Alternative Flow: No Previous Orders GIVEN: the user is logged into the app AND: has never placed an order WHEN: they access the ""Order History"" section THEN: the system should display a friendly message like “You haven’t made any orders yet. Explore our products and make your first purchase!”",3,10,10,10
P005,G1,2 - GreenMarket,Yes,DESCRIPTION AS: Consumer interested in organic products I WANT TO: Subscribe to a weekly delivery plan for fruits and vegetables SO THAT: I receive fresh products at home regularly and support local small producers,"GIVEN: the user is logged into the app AND has a registered address AND subscription plans are available for their region WHEN: the user accesses the ""Weekly Subscriptions"" tab and selects a plan THEN: the plan is activated with payment confirmation AND the user starts receiving the products weekly at the chosen address",GIVEN: the user is logged into the app AND has a registered address AND there are no subscription plans available for their region WHEN: the user tries to subscribe to a weekly plan THEN: the system displays a message informing that no deliveries are available in the region AND offers the option to be notified when availability occurs,2,10,10,10
P006,G2,2 - GreenMarket,No,Title: Product Purchase DESCRIPTION AS: Buyer I WANT TO: Purchase products in the system SO THAT: I can acquire new products,"USE CASES (Main Flow) GIVEN: I made a purchase AND … AND … I am logged in, WHEN: I click the confirm purchase button THEN: I want to be able to track the delivery of the product",USE CASES (Alternative Flow) GIVEN: I made a purchase AND … AND … I am not logged in WHEN: I click the confirm purchase button THEN: I want to be able to authenticate in the system and track the product delivery,7,10,5,7.5
